Table 1
Name;type;January;February;March;April;May;June;July;August;September;October;November;December;
Aubergine;Vegetable;-;-;-;-;-;-;h;h;h;h;-;-;
Blumenkohl;Vegetable;-;-;-;-;h;h;h;h;h;h;-;-;
Bohnen, grüne;Vegetable;-;-;-;-;-;-;h;h;h;h;-;-;
Bohnen, dicke;Vegetable;-;-;-;-;-;h;h;h;-;-;-;-;
Brokkoli;Vegetable;-;-;-;-;-;h;h;h;h;h;-;-;
Butterrüben;Vegetable;s;s;s;s;-;-;-;h;h;h;h;h;
Champignons;Vegetable;h;h;h;h;h;h;h;h;h;h;h;h;
Erbsen;Vegetable;-;-;-;-;-;h;h;h;-;-;-;-;
Fenchel;Vegetable;-;-;-;-;-;h;h;h;h;h;h;-;
Grünkohl;Vegetable;h;H;-;-;-;-;-;-;-;-;h;h;
Gurke / Salatgurke;Vegetable;-;-;-;-;-;h;h;h;h;h;-;-;
Kartoffeln;Vegetable;S;S;S;S;S;h;h;h;h;h;S;S;
Kohlrabi;Vegetable;-;-;-;-;h;h;h;h;h;h;-;-;
Kürbis;Vegetable;s;S;-;-;-;-;-;h;h;h;h;S;
Lauch / Porree;Vegetable;h;h;h;h;h;h;h;h;h;h;h;h;
Lauch- / Frühlingszwiebeln;Vegetable;-;-;-;-;h;h;h;h;h;h;-;-;
Mais;Vegetable;-;-;-;-;-;-;-;h;h;h;-;-;
Mangold;Vegetable;-;-;-;-;h;h;h;h;h;h;-;-;
Möhren / Karotten;Vegetable;s;S;S;S;S;h;h;h;h;h;S;S;
Paprika;Vegetable;-;-;-;-;-;-;h;h;h;h;-;-;
Pastinaken;Vegetable;h;h;h;S;-;-;-;-;h;h;h;h;
Radieschen;Vegetable;-;-;-;-;h;h;h;h;h;h;-;-;
Rosenkohl;Vegetable;h;h;h;-;-;-;-;-;-;h;h;h;
Rote Bete;Vegetable;S;S;S;S;-;-;h;h;h;h;h;S;
Rotkohl;Vegetable;S;S;S;S;S;h;h;h;h;h;h;S;
Schwarzwurzeln;Vegetable;h;h;-;-;-;-;-;-;-;h;h;h;
Spargel;Vegetable;-;-;-;h;h;h;-;-;-;-;-;-;
Spinat;Vegetable;-;-;h;h;h;-;-;-;h;h;h;-;
Spitzkohl;Vegetable;-;-;-;-;h;h;-;-;-;-;-;-;
Staudensellerie;Vegetable;-;-;-;-;-;-;h;h;h;h;-;-;
Steckrüben;Vegetable;S;S;S;-;-;-;-;-;h;h;h;h;
Tomaten;Vegetable;-;-;-;-;-;-;h;h;h;h;-;-;
Topinambur;Vegetable;h;h;h;-;-;-;-;-;-;h;h;h;
Weißkohl;Vegetable;s;S;S;S;-;h;h;h;h;h;h;S;
Wirsingkohl;Vegetable;h;h;S;-;h;h;h;h;h;h;h;h;
Zucchini;Vegetable;-;-;-;-;-;h;h;h;h;h;-;-;
Zuckerschoten;Vegetable;-;-;-;-;-;h;h;h;-;-;-;-;
Zwiebeln;Vegetable;S;S;S;S;S;S;h;h;h;h;S;S;
Apfel;Fruit;S;S;S;S;S;-;-;h;h;h;h;S;
Aprikose;Fruit;-;-;-;-;-;-;h;h;-;-;-;-;
Birne;Fruit;-;-;-;-;-;-;-;h;h;h;S;S;
Blaubeeren / Heidelbeeren;Fruit;-;-;-;-;-;h;h;h;h;-;-;-;
Brombeeren;Fruit;-;-;-;-;-;-;h;h;h;-;-;-;
Erdbeeren;Fruit;-;-;-;-;h;h;h;-;-;-;-;-;
Himbeeren;Fruit;-;-;-;-;-;h;h;h;-;-;-;-;
Holunderbeeren / Flieder;Fruit;-;-;-;-;-;-;-;-;h;h;-;-;
Johannisbeeren;Fruit;-;-;-;-;-;h;h;h;-;-;-;-;
Kirschen;Fruit;-;-;-;-;-;h;h;h;-;-;-;-;
Mirabellen;Fruit;-;-;-;-;-;-;h;h;h;-;-;-;
Pflaumen;Fruit;-;-;-;-;-;-;h;h;h;-;-;-;
Quitten;Fruit;-;-;-;-;-;-;-;-;h;h;h;-;
Rhabarber;Fruit;-;-;-;h;h;h;-;-;-;-;-;-;
Stachelbeeren;Fruit;-;-;-;-;-;h;h;h;-;-;-;-;
Wassermelonen;Fruit;-;-;-;-;-;-;-;h;h;-;-;-;
Weintrauben;Fruit;-;-;-;-;-;-;-;-;h;h;-;-;
Zwetschgen;Fruit;-;-;-;-;-;-;h;h;h;h;-;-;
Batavia;Salat;-;-;-;-;h;h;h;h;h;-;-;-;
Chicorée;Salat;h;h;h;h;-;-;-;-;-;h;h;h;
Eichblattsalat;Salat;-;-;-;-;h;h;h;h;h;h;-;-;
Eisbergsalat;Salat;-;-;-;-;-;h;h;h;h;h;-;-;
Endiviensalat;Salat;-;-;-;-;h;h;h;h;h;h;h;h;
Feldsalat;Salat;h;h;h;h;-;-;-;-;-;h;h;h;
Kopfsalat;Salat;-;-;-;-;h;h;h;h;h;h;-;-;
Lollo Rosso;Salat;-;-;-;-;h;h;h;h;h;h;-;-;
Portulak;Salat;h;h;h;h;-;-;h;h;h;h;h;h;
Radicchio;Salat;S;S;-;-;-;-;-;h;h;h;h;S;
Rucola;Salat;-;-;-;h;h;h;h;h;h;-;-;-;
